,Start,End,Type,time,pollution
201,Molybdenum,Niobium,Walk,442.42,0.0
202,Tantalum,Gold,Walk,745.0686428571425,0.0
203,Thulium,Ytterbium,Walk,921.8399999999995,0.0
204,Thallium,Mercury,Walk,1046.9699999999998,0.0
205,Lutetium,Iridium,Walk,1082.8900000000012,0.0
206,Carbon,Magnesium,Walk,344.88966666666676,0.0
207,Iridium,Bismuth,Car,484.77999999999975,24.238999999999987
208,Argon,Chromium,Car,205.05666666666676,10.252833333333337
209,Iron,Manganese,Walk,485.1100000000002,0.0
210,Dysprosium,Neodymium,Car,215.58999999999986,10.779499999999993
211,Strontium,Germanium,Walk,378.05000000000007,0.0
212,Samarium,Erbium,Car,502.8699999999995,25.143499999999975
213,Actinium,Bismuth,Walk,1079.6400000000003,0.0
214,Hafnium,Dysprosium,Walk,895.8630000000004,0.0
215,Lanthanum,Europium,Car,207.77000000000007,10.388500000000004
216,Gold,Tantalum,Walk,912.75,0.0
217,Terbium,Lutetium,Car,392.4966666666669,19.624833333333346
218,Radon,Astatine,Car,515.2899999999998,25.764499999999995
219,Lithium,Helium,Walk,433.9866666666665,0.0
220,Tungsten,Tantalum,Walk,953.6899999999991,0.0
221,Helium,Oxygen,Walk,468.3900000000002,0.0
222,Copper,Zinc,Walk,443.42999999999967,0.0
223,Neon,Sulfur,Car,178.01999999999992,8.900999999999996
224,Praseodymium,Neodymium,Walk,409.66999999999973,0.0
225,Radon,Mercury,Car,550.4999999999993,27.524999999999963
226,Beryllium,Lithium,Car,167.23000000000002,8.361500000000001
227,Neodymium,Praseodymium,Car,252.11033333333322,12.605516666666661
228,Curium,Americium,Car,492.72999999999996,24.636499999999998
229,Francium,Neptunium,Walk,917.6599999999997,0.0
230,Hafnium,Dysprosium,Car,479.5408333333333,23.977041666666665
231,Chlorine,Sulfur,Walk,378.08999999999963,0.0
232,Iodine,Tellurium,Car,205.01666666666665,10.250833333333333
233,Radon,Astatine,Walk,893.3099999999997,0.0
234,Antimony,Lanthanum,Walk,335.18999999999994,0.0
235,Bismuth,Iridium,Walk,906.645000000001,0.0
236,Palladium,Tellurium,Car,203.90999999999994,10.195499999999997
237,Plutonium,Radium,Car,584.6500000000001,29.232500000000005
238,Chlorine,Vanadium,Car,176.00999999999988,8.800499999999994
239,Silver,Iodine,Car,219.2999999999999,10.964999999999996
240,Selenium,Nickel,Walk,408.0000000000001,0.0
241,Rhodium,Yttrium,Car,168.50500000000008,8.425250000000004
242,Vanadium,Chromium,Walk,439.6773333333331,0.0
243,Phosphorus,Scandium,Walk,456.29999999999984,0.0
244,Nickel,Titanium,Walk,376.9599999999998,0.0
245,Iodine,Xenon,Car,212.52999999999997,10.626499999999998
246,Silicon,Phosphorus,Walk,438.2999999999998,0.0
247,Zirconium,Palladium,Car,203.62666666666647,10.181333333333322
248,Thorium,Polonium,Car,538.0900000000005,26.904500000000027
249,Ytterbium,Thulium,Car,414.94000000000045,20.74700000000002
250,Silver,Niobium,Car,226.1499999999999,11.307499999999996
251,Neptunium,Uranium,Car,538.6799999999996,26.93399999999998
252,Beryllium,Neon,Walk,376.53000000000026,0.0
253,Praseodymium,Neodymium,Car,238.22999999999993,11.911499999999997
254,Calcium,Scandium,Walk,423.37000000000006,0.0
255,Niobium,Zirconium,Car,204.56999999999988,10.228499999999995
256,Mercury,Radon,Car,551.0533333333334,27.552666666666667
257,Potassium,Calcium,Walk,426.8899999999999,0.0
258,Radium,Plutonium,Car,596.6036666666668,29.830183333333338
259,Ytterbium,Osmium,Walk,1144.9000000000005,0.0
260,Actinium,Radium,Car,617.4600000000004,30.87300000000002
261,Oxygen,Helium,Walk,420.03166666666647,0.0
262,Samarium,Promethium,Walk,1147.9599999999998,0.0
263,Sodium,Magnesium,Walk,458.9499999999998,0.0
264,Holmium,Promethium,Car,515.0000000000001,25.750000000000004
265,Erbium,Holmium,Car,617.5266666666663,30.876333333333314
266,Rubidium,Technetium,Walk,425.0566666666665,0.0
267,Argon,Magnesium,Car,209.87000000000003,10.493500000000001
268,Technetium,Ruthenium,Walk,488.3200000000001,0.0
269,Vanadium,Chlorine,Car,174.25999999999988,8.712999999999994
270,Tin,Ruthenium,Walk,360.6900000000003,0.0
271,Iron,Cobalt,Car,231.38999999999973,11.569499999999987
272,Nickel,Selenium,Walk,376.4399999999998,0.0
273,Cobalt,Iron,Walk,396.06599999999975,0.0
274,Cadmium,Xenon,Car,218.4686666666665,10.923433333333326
275,Palladium,Zirconium,Car,202.52999999999986,10.126499999999993
276,Polonium,Thorium,Walk,773.8800000000001,0.0
277,Cesium,Promethium,Car,257.4499999999999,12.872499999999993
278,Germanium,Iron,Walk,410.7399999999999,0.0
279,Curium,Thorium,Car,562.4199999999998,28.120999999999995
280,Promethium,Cesium,Car,237.43999999999983,11.871999999999991
281,Aluminum,Potassium,Car,188.58249999999992,9.429124999999997
282,Gold,Astatine,Car,575.1500000000003,28.757500000000018
283,Gadolinium,Ytterbium,Walk,951.4699999999988,0.0
284,Zirconium,Niobium,Car,211.6366666666666,10.581833333333329
285,Platinum,Hafnium,Walk,1117.3000000000004,0.0
286,Americium,Actinium,Walk,1288.7029999999986,0.0
287,Iridium,Lutetium,Car,458.67000000000013,22.93350000000001
288,Rhenium,Osmium,Walk,1316.7599999999998,0.0
289,Carbon,Magnesium,Car,256.9150000000002,12.84575000000001
290,Thulium,Rhenium,Car,487.86999999999955,24.393499999999975
291,Nitrogen,Oxygen,Walk,445.5699999999997,0.0
292,Aluminum,Nitrogen,Walk,406.35999999999984,0.0
293,Iron,Calcium,Car,233.37999999999974,11.668999999999988
294,Cadmium,Silver,Walk,430.1699999999998,0.0
295,Platinum,Polonium,Car,483.9002499999998,24.19501249999999
296,Mercury,Gold,Walk,1252.345000000001,0.0
297,Neptunium,Uranium,Walk,1076.01,0.0
298,Zirconium,Yttrium,Car,207.04449999999989,10.352224999999994
299,Boron,Carbon,Car,212.82999999999996,10.641499999999999
300,Manganese,Potassium,Car,204.73999999999992,10.236999999999997
301,Lutetium,Hafnium,Walk,1158.7900000000004,0.0
302,Plutonium,Radium,Walk,987.4399999999994,0.0
303,Gadolinium,Ytterbium,Car,459.07999999999964,22.953999999999983
304,Titanium,Vanadium,Walk,420.5399999999997,0.0
305,Copper,Bromine,Car,168.99999999999994,8.449999999999998
306,Osmium,Lead,Walk,767.9499999999998,0.0
307,Uranium,Neptunium,Car,588.6799999999997,29.433999999999987
308,Ruthenium,Tin,Car,208.7399999999999,10.436999999999994
309,Tantalum,Holmium,Car,382.96999999999974,19.148499999999988
310,Lutetium,Hafnium,Car,392.7700000000002,19.63850000000001
311,Xenon,Cadmium,Car,217.29999999999984,10.864999999999991
312,Chromium,Argon,Walk,431.20999999999964,0.0
313,Holmium,Erbium,Car,532.97,26.648500000000002
314,Actinium,Thorium,Car,582.7600000000001,29.138000000000005
315,Rubidium,Strontium,Car,236.02,11.801000000000002
316,Praseodymium,Cerium,Walk,404.31000000000006,0.0
317,Europium,Samarium,Walk,916.2899999999997,0.0
318,Zinc,Krypton,Car,236.90999999999963,11.845499999999982
319,Titanium,Scandium,Walk,402.1449999999999,0.0
320,Rubidium,Gallium,Car,235.84166666666673,11.792083333333338
321,Bromine,Copper,Walk,505.80571428571403,0.0
322,Curium,Thorium,Walk,1253.2679999999998,0.0
323,Terbium,Praseodymium,Car,172.09999999999977,8.604999999999988
324,Nickel,Titanium,Car,244.07149999999982,12.203574999999992
325,Silver,Cadmium,Car,221.7099999999998,11.08549999999999
326,Potassium,Aluminum,Walk,433.39000000000004,0.0
327,Europium,Gadolinium,Walk,898.3666666666654,0.0
328,Terbium,Praseodymium,Walk,340.00999999999976,0.0
329,Gallium,Rubidium,Walk,354.9099999999996,0.0
330,Boron,Beryllium,Walk,472.80999999999983,0.0
331,Neodymium,Praseodymium,Walk,383.33999999999946,0.0
332,Technetium,Ruthenium,Car,155.6199999999999,7.780999999999994
333,Palladium,Zirconium,Walk,412.37000000000006,0.0
334,Antimony,Tellurium,Walk,327.47999999999996,0.0
335,Calcium,Potassium,Car,200.59999999999988,10.029999999999994
336,Nickel,Cobalt,Car,274.95416666666665,13.747708333333332
337,Antimony,Tellurium,Car,207.89666666666656,10.39483333333333
338,Xenon,Neodymium,Car,226.75999999999993,11.337999999999997
339,Indium,Technetium,Car,197.04,9.851999999999999
340,Americium,Actinium,Car,537.53,26.876499999999997
341,Dysprosium,Hafnium,Car,588.1620000000004,29.40810000000002
342,Titanium,Sulfur,Walk,430.5200000000003,0.0
343,Barium,Samarium,Walk,321.91000000000025,0.0
344,Cerium,Praseodymium,Walk,493.45999999999964,0.0
345,Terbium,Gadolinium,Walk,996.7399999999999,0.0
346,Terbium,Dysprosium,Walk,981.3100000000004,0.0
347,Cadmium,Molybdenum,Car,218.7799999999997,10.938999999999986
348,Iodine,Tellurium,Walk,404.3633333333331,0.0
349,Palladium,Tellurium,Walk,380.1299999999999,0.0
350,Manganese,Potassium,Walk,470.69999999999993,0.0
351,Radium,Lead,Walk,895.3700000000003,0.0
352,Mercury,Thallium,Walk,1190.5749999999996,0.0
353,Lanthanum,Barium,Walk,416.06,0.0
354,Americium,Curium,Walk,1284.3599999999992,0.0
355,Erbium,Holmium,Walk,858.43,0.0
356,Potassium,Calcium,Car,167.34833333333336,8.367416666666667
357,Americium,Curium,Car,553.29,27.664499999999997
358,Helium,Hydrogen,Car,164.26000000000005,8.213000000000001
359,Bromine,Niobium,Car,200.73999999999992,10.036999999999995
360,Mercury,Thallium,Car,541.6200000000001,27.081000000000003
361,Cesium,Barium,Car,254.17999999999975,12.708999999999987
362,Magnesium,Sodium,Car,177.06999999999994,8.853499999999997
363,Astatine,Gold,Walk,1148.1899999999996,0.0
364,Samarium,Barium,Car,204.27166666666653,10.213583333333327
365,Selenium,Zirconium,Car,238.7158333333332,11.93579166666666
366,Carbon,Boron,Walk,334.7671666666668,0.0
367,Phosphorus,Scandium,Car,197.52799999999993,9.876399999999997
368,Radium,Actinium,Car,593.3010000000006,29.66505000000003
369,Potassium,Manganese,Walk,448.91383333333323,0.0
370,Holmium,Erbium,Walk,1200.5300000000004,0.0
371,Yttrium,Zirconium,Walk,403.32107142857143,0.0
372,Gadolinium,Europium,Walk,919.2900000000003,0.0
373,Silicon,Aluminum,Walk,427.8099999999997,0.0
374,Lead,Radium,Car,530.7900000000002,26.539500000000007
375,Rhodium,Palladium,Car,146.59166666666653,7.329583333333326
376,Bromine,Selenium,Car,197.3599999999999,9.867999999999995
377,Gold,Astatine,Walk,893.2399999999993,0.0
378,Dysprosium,Terbium,Walk,1266.7003333333334,0.0
379,Francium,Thallium,Walk,988.5799999999991,0.0
380,Arsenic,Selenium,Walk,391.5899999999998,0.0
381,Erbium,Thulium,Car,607.003333333333,30.350166666666652
382,Barium,Lanthanum,Car,171.61999999999995,8.580999999999996
383,Iron,Cobalt,Walk,498.0200000000003,0.0
384,Silicon,Oxygen,Car,210.00999999999993,10.500499999999997
385,Krypton,Bromine,Walk,356.3000000000003,0.0
386,Yttrium,Rhodium,Walk,396.5869999999998,0.0
387,Nickel,Cobalt,Walk,366.285,0.0
388,Argon,Chlorine,Car,187.69999999999987,9.384999999999993
389,Tungsten,Mercury,Walk,925.1299999999998,0.0
390,Ruthenium,Rhodium,Walk,319.99399999999997,0.0
391,Mercury,Tungsten,Car,543.6099999999999,27.18049999999999
392,Vanadium,Copper,Walk,446.9666666666661,0.0
393,Iodine,Praseodymium,Car,215.52,10.776000000000002
394,Palladium,Rhodium,Walk,387.08,0.0
395,Thorium,Curium,Walk,1164.5599999999997,0.0
396,Iridium,Platinum,Car,473.38833333333287,23.669416666666642
397,Actinium,Americium,Car,623.2900000000004,31.16450000000002
398,Krypton,Zinc,Car,190.89999999999986,9.544999999999993
399,Molybdenum,Niobium,Car,203.9199999999999,10.195999999999994
400,Fluorine,Neon,Car,202.46999999999986,10.123499999999993
401,Silver,Iodine,Walk,384.9599999999999,0.0
402,Radon,Francium,Walk,941.100000000001,0.0
403,Strontium,Germanium,Car,221.38000000000005,11.069000000000003
404,Francium,Radon,Walk,912.6599999999999,0.0
405,Rhodium,Antimony,Walk,469.7708333333335,0.0
406,Lutetium,Ytterbium,Walk,1089.1300000000008,0.0
407,Cerium,Tellurium,Walk,458.4899999999995,0.0
408,Osmium,Rhenium,Car,452.32999999999987,22.61649999999999
409,Holmium,Tantalum,Walk,1123.8159999999991,0.0
410,Uranium,Radon,Walk,906.3475000000004,0.0
411,Antimony,Rhodium,Car,208.93666666666664,10.446833333333332
412,Fluorine,Oxygen,Car,209.29999999999984,10.464999999999991
413,Indium,Tin,Walk,403.04,0.0
414,Promethium,Holmium,Car,393.2899999999998,19.66449999999999
415,Thallium,Francium,Walk,1059.9266666666665,0.0
416,Mercury,Gold,Car,530.0599999999995,26.502999999999975
417,Cobalt,Nickel,Walk,383.63999999999965,0.0
418,Osmium,Rhenium,Walk,774.7999999999995,0.0
419,Astatine,Radon,Walk,1163.5199999999995,0.0
420,Gallium,Rubidium,Car,192.96799999999985,9.648399999999992
421,Thulium,Erbium,Car,475.60000000000036,23.78000000000002
422,Strontium,Yttrium,Car,208.10666666666646,10.405333333333324
423,Cerium,Lanthanum,Car,181.29999999999995,9.064999999999998
424,Barium,Tin,Car,161.61999999999986,8.080999999999994
425,Samarium,Barium,Walk,317.7100000000001,0.0
426,Bismuth,Iridium,Car,579.4419999999998,28.97209999999999
427,Uranium,Protactinium,Car,598.3200000000002,29.916000000000007
428,Tungsten,Tantalum,Car,562.2300000000001,28.111500000000007
429,Arsenic,Yttrium,Walk,427.1699999999996,0.0
430,Plutonium,Americium,Car,608.49,30.4245
431,Francium,Radon,Car,569.5913333333331,28.479566666666653
432,Bismuth,Lead,Car,605.0700000000005,30.253500000000027
433,Ruthenium,Strontium,Car,201.83999999999997,10.091999999999999
434,Indium,Tin,Car,187.59999999999994,9.379999999999997
435,Cobalt,Iron,Car,214.10666666666674,10.705333333333337
436,Lanthanum,Antimony,Walk,397.63000000000045,0.0
437,Iridium,Osmium,Car,485.7899999999999,24.289499999999993
438,Thallium,Francium,Car,543.6175,27.180874999999997
439,Cerium,Lanthanum,Walk,467.49999999999966,0.0
440,Iodine,Silver,Car,203.70666666666668,10.185333333333334
441,Platinum,Iridium,Walk,1103.5600000000002,0.0
442,Titanium,Vanadium,Car,212.14999999999986,10.607499999999993
443,Rubidium,Gallium,Walk,437.7766666666664,0.0
444,Francium,Neptunium,Car,582.5133333333328,29.12566666666664
445,Selenium,Nickel,Car,232.13466666666645,11.606733333333322
446,Erbium,Samarium,Walk,843.3799999999999,0.0
447,Neon,Fluorine,Car,182.11999999999995,9.105999999999996
448,Chlorine,Argon,Car,168.00999999999988,8.400499999999994
449,Silver,Palladium,Car,228.55999999999997,11.427999999999999
450,Silver,Niobium,Walk,392.76000000000016,0.0
451,Chromium,Zinc,Walk,467.0099999999999,0.0
452,Magnesium,Carbon,Car,165.27999999999997,8.264
453,Zirconium,Palladium,Walk,313.15866666666665,0.0
454,Tellurium,Palladium,Walk,393.51999999999987,0.0
455,Arsenic,Cobalt,Walk,451.7999999999991,0.0
456,Strontium,Rubidium,Car,208.0899999999999,10.404499999999993
457,Manganese,Gallium,Car,195.39999999999995,9.769999999999998
458,Dysprosium,Hafnium,Walk,1199.9866666666667,0.0
459,Thulium,Rhenium,Walk,911.5400000000006,0.0
460,Scandium,Phosphorus,Car,192.60000000000005,9.630000000000003
461,Radon,Uranium,Walk,911.4233333333336,0.0
462,Tantalum,Holmium,Walk,801.7029999999994,0.0
463,Thallium,Lead,Walk,1044.1499999999992,0.0
464,Krypton,Bromine,Car,180.16999999999993,9.008499999999996
465,Iodine,Praseodymium,Walk,441.02499999999986,0.0
466,Cesium,Barium,Walk,435.6210000000005,0.0
467,Radium,Francium,Walk,919.66,0.0
468,Nickel,Copper,Car,247.7774999999998,12.38887499999999
469,Krypton,Zinc,Walk,352.66000000000014,0.0
